"Violation County","House Number","Street Name","Violation Post Code","Violation Precinct","count"
"BK","","WB CONDUIT BLVD @ LI","","0.0","13846"
"QN","","WB QUEENS BLVD @ 72N","","0.0","11202"
"QN","","EB HORACE HARDING EX","","0.0","8901"
"MN","","SB WEST ST @ LEROY S","","0.0","7316"
"BK","","WB ATLANTIC AVE @ CL","","0.0","6188"
"BK","","EB CONDUIT BLVD @ GL","","0.0","5820"
"MN","","EB W 14TH STREET @ 5","","0.0","5680"
"QN","","EB ATLANTIC AVE @ 13","","0.0","5320"
"QN","","SB FRANCIS LEWIS BLV","","0.0","5156"
"ST","","WB GOETHALS RD N @ J","","0.0","5050"
"QN","","NB SPRINGFIELD BLVD","","0.0","5001"
"BK","","WB LINDEN BLVD @ LIN","","0.0","4802"
"ST","","NB PAGE AVE @ ACADEM","","0.0","4770"
"BK","","NB CONEY ISLAND AVE","","0.0","4739"
"BK","","EB ATLANTIC AVE @ ES","","0.0","4519"
"BK","","NB OCEAN PKWY @ ELMW","","0.0","4334"
"BX","","SB BAYCHESTER AVE @","","0.0","4311"
"QN","","EB NORTHERN BLVD @ A","","0.0","4244"
"BX","","WB BRUCKNER BLVD @ F","","0.0","3957"
"QN","","WB SEAGIRT BLVD @ CR","","0.0","3857"
"BX","","WB SEDGWICK AVE @ SA","","0.0","3771"
"MN","","NB WEST ST @ CARLISL","","0.0","3743"
"QN","","WB HEMPSTEAD AVE @ 9","","0.0","3552"
"BX","","WB E GUN HILL RD @ G","","0.0","3480"
"MN","","EB E HOUSTON ST @ AV","","0.0","3469"
"BK","","NB PENNSYLVANIA AVE","","0.0","3463"
"BK","","WB ATLANTIC AVE @ SH","","0.0","3300"
"BK","","SB EASTERN PKWY @ TR","","0.0","3298"
"BX","","WB BRUCKNER BLVD @ B","","0.0","3263"
"QN","","WB NORTHERN BLVD @ 2","","0.0","3260"
"QN","","SB SPRINGFIELD BLVD","","0.0","3239"
"QN","","EB QUEENS BLVD @ 82N","","0.0","3211"
"BK","","SB E 80TH ST @ PAERD","","0.0","3199"
"QN","","WB ATLANTIC AVE @ 13","","0.0","3195"
"MN","","SB 12TH AVE @ W 23RD","","0.0","3112"
"QN","","SB LITTLE NECK PKWY","","0.0","3036"
"QN","","WB ROCKAWAY BEACH BL","","0.0","3032"
"BK","","SB PENNSYLVANIA AVE","","0.0","3019"
"BK","","EB LINDEN BLVD @ HEM","","0.0","3014"
"BX","","EB E 233RD ST @ KATO","","0.0","2990"
"BX","","EB E TREMONT AVE @ B","","0.0","2916"
"MN","","WB E 14TH STREET @ I","","0.0","2892"
"BX","","NB BAYCHESTER AVE @","","0.0","2874"
"MN","","SB WEST ST @ WARREN","","0.0","2850"
"QN","","SB WOODHAVEN BLVD @","","0.0","2824"
"QN","","EB HOYT AVE S @ 24TH","","0.0","2793"
"QN","","EB HILLSIDE AVE @ 25","","0.0","2778"
"QN","","SB 21ST ST @ 36TH AV","","0.0","2772"
"BK","","EB PROSPECT ST @ WAS","","0.0","2772"
"QN","","EB MERRICK BLVD @ 24","","0.0","2748"
"BK","","SB HOWARD AVE @ E NE","","0.0","2719"
"BX","","NB MACDONOUGH PL @ D","","0.0","2713"
"BK","","WB LINDEN BLVD @ SCH","","0.0","2708"
"BK","","NB RALPH AVE @ E 66T","","0.0","2672"
"BK","","EB ATLANTIC AVE @ RA","","0.0","2671"
"BK","","EB LINDEN BLVD @ VER","","0.0","2665"
"QN","","WB THOMSON AVE @ 30T","","0.0","2638"
"QN","","HORACE HARDING EXPWY","","0.0","2619"
"QN","","EB SEAGIRT BLVD @ B","","0.0","2607"
"BK","","EB LINDEN BLVD @ ROC","","0.0","2521"
"BK","","EB FLATLANDS AVE @ E","","0.0","2506"
"QN","","EB HILLSIDE AVE @ MA","","0.0","2500"
"QN","","NB FRANCIS LEWIS BLV","","0.0","2473"
"QN","","EB UNION TPKE @ KENT","","0.0","2452"
"BK","","WB LINDEN BLVD @ ROC","","0.0","2438"
"QN","","WB UNION TPKE @ 259T","","0.0","2342"
"MN","","NB WEST ST @ LEROY S","","0.0","2303"
"MN","","NB AVE OF THE AMERIC","","0.0","2302"
"QN","","NB GUY R BREWER BLVD","","0.0","2288"
"ST","","WB AMBOY RD @ WOODHU","","0.0","2241"
"BX","","NB RIVERDALE AVE @ W","","0.0","2232"
"QN","","NB VAN DAM ST @ 48TH","","0.0","2232"
"BK","","NB RALPH AVE @ BEVER","","0.0","2217"
"BX","","NB BAILEY AVE @ W 19","","0.0","2195"
"BX","","EB E GUN HILL RD @ T","","0.0","2191"
"ST","","WB SEAVIEW AVE @ MAS","","0.0","2185"
"MN","","EB E 14TH STREET @ U","","0.0","2160"
"BK","","NB CROPSEY AVE @ 25T","","0.0","2128"
"BK","","NB FLATBUSH AVE EXT","","0.0","2127"
"QN","","WB UNION TPKE @ MAIN","","0.0","2122"
"BK","","EB NEPTUNE AVE @ W 2","","0.0","2110"
"QN","","WB QUEENS BLVD @ 36T","","0.0","2102"
"MN","","SB 9TH AVE @ 28TH ST","","0.0","2027"
"MN","","WB W 14TH STREET @ 6","","0.0","2023"
"QN","","SB HOLLIS CT BLVD @","","0.0","2013"
"QN","","SB BELL BLVD @ 18TH","","0.0","2012"
"QN","","EB ROCKAWAY BLVD @ 1","","0.0","2007"
"BK","","NB KINGS HWY @ TILDE","","0.0","2001"
"QN","","WB QUEENS BLVD @ 56T","","0.0","1988"
"BK","","WB FLATLANDS AVE @ E","","0.0","1970"
"BX","","SB GRAND CONCOURSE @","","0.0","1932"
"QN","","NB MIDLAND PKWY @ HE","","0.0","1928"
"QN","","EB QUEENS BLVD @ 35T","","0.0","1919"
"MN","","NB BROADWAY @ W 228T","","0.0","1910"
"QN","","NB KISSENA BLVD @ ME","","0.0","1906"
"BK","","EB 37TH ST @ FT HAMI","","0.0","1893"
"QN","","WB QUEENS BLVD @ 62N","","0.0","1849"
"ST","","EB ROCKLAND AVE @ BO","","0.0","1800"
"QN","","SB MAIN ST @ 63RD AV","","0.0","1797"
"BK","","NB KNAPP ST @ ALLEN","","0.0","1793"
"MN","","WB W HOUSTON ST @ W","","0.0","1790"
"QN","","WB UNION TRPK @ 213T","","0.0","1773"
"BK","","NB KINGS HWY @ E 94T","","0.0","1721"
"BK","","NB FLATBUSH AVE @ DE","","0.0","1698"
"BX","","SB BROADWAY @ 252ND","","0.0","1694"
"BK","","NB BAY PKWY @ BENSON","","0.0","1687"
"BK","","SB RALPH AVE @ BEVER","","0.0","1680"
"QN","","EB QUEENS BLVD @ 71S","","0.0","1671"
"BK","","NB OCEAN PKWY @ AVE","","0.0","1668"
"BX","","NB GRAND CONCOURSE @","","0.0","1650"
"BX","","NB SOUTHERN BLVD @ E","","0.0","1649"
"QN","","EB METROPOLITAN AVE","","0.0","1648"
"ST","","WB ROCKLAND AVE @ SW","","0.0","1624"
"QN","","NB MARATHON PKWY @ T","","0.0","1622"
"QN","","SB MAIN ST @ 82ND DR","","0.0","1615"
"BK","","EB AVE N @ E 22ND ST","","0.0","1595"
"BX","","NB WEBSTER AVE @ E 1","","0.0","1590"
"QN","","WB BEACH CHANNEL DR","","0.0","1585"
"BK","","EB FT HAMILTON PKWY","","0.0","1576"
"BX","","SB SOUTHERN BLVD @ E","","0.0","1567"
"BK","","WB PARK AVE @ N OXFO","","0.0","1560"
"QN","","WB QUEENS BLVD @ 51S","","0.0","1551"
"BK","","NB FLATBUSH AVE @ E","","0.0","1535"
"BK","","EB SHORE PKWY @ OCEA","","0.0","1535"
"BX","","NB WILLIAMSBRIDGE RD","","0.0","1532"
"BK","","NB WILLIAMS AVE @ WO","","0.0","1530"
"BK","","NB OCEAN AVE @ BAY A","","0.0","1522"
"QN","","WB BRADDOCK AVE @ PO","","0.0","1509"
"BK","","SB RALPH AVE @ E 66T","","0.0","1492"
"BK","","EB 65TH ST @ 16TH AV","","0.0","1485"
"ST","","WB LINCOLN AVE @ N R","","0.0","1469"
"BK","","ATLANTIC AVE (W/B) @","","0.0","1441"
"QN","","EB QUEENS BLVD @ 55T","","0.0","1439"
"BX","","NB BROADWAY @ W 251S","","0.0","1428"
"BK","","EB EASTERN PKWY @ WA","","0.0","1419"
"BK","","WB 65TH ST @ 16TH AV","","0.0","1405"
"QN","","WB LIBERTY AVE @ GUY","","0.0","1366"
"ST","","SB MANOR RD @ BRIELL","","0.0","1358"
"QN","","WB BEDELL ST @ 133RD","","0.0","1356"
"BK","","NB HOWARD AVE @ SUTT","","0.0","1355"
"BK","","NB BEDFORD AVE @ GAT","","0.0","1348"
"ST","","SB MIDLAND AVE @ MAS","","0.0","1345"
"QN","","EB QUEENS BLVD @ 63R","","0.0","1341"
"BK","","EASTERN PKWY (W/B) @","","0.0","1333"
"BK","","EB SEAVIEW AVE @ E 1","","0.0","1330"
"BX","","EB E 233RD ST @ MURD","","0.0","1319"
"BK","","SB CONEY ISLAND AVE","","0.0","1318"
"BX","","NB UNIVERSITY AVE @","","0.0","1303"
"MN","","NB BROADWAY @ W 120T","","0.0","1300"
"BK","","FLATBUSH AVE (N/B) @","","0.0","1281"
"QN","","QUEENS BLVD (E/B) @","","0.0","1278"
"BX","","BRUCKNER BLVD (E/B)","","0.0","1275"
"BX","","WB E 135TH ST @ ALEX","","0.0","1274"
"QN","","WB 73RD AVE @ 196TH","","0.0","1266"
"ST","","EB RICHMOND HILL RD","","0.0","1248"
"BX","","EB E TREMONT AVE @ E","","0.0","1244"
"QN","","WB MERRICK BLVD @ 10","","0.0","1235"
"QN","","EB UNION TPKE @ 210T","","0.0","1232"
"BK","","SB MILL AVE @ AVE U","","0.0","1223"
"QN","","NB MAIN ST @ ELDER A","","0.0","1217"
"QN","","SB KISSENA BLVD @ QU","","0.0","1205"
"BK","","NB OCEAN PKWY @ BEVE","","0.0","1194"
"QN","","EB LIBERTY AVE @ 160","","0.0","1190"
"QN","","ASTORIA BLVD S (E/B)","","0.0","1156"
"ST","","NB FATHER CAPODANNO","","0.0","1155"
"BX","","WB E 177TH ST @ BRON","","0.0","1155"
"BK","","SB REMSEN AVE @ FARR","","0.0","1152"
"BK","","NB EASTERN PKWY @ HE","","0.0","1148"
"BK","","NB FLATBUSH AVE @ LI","","0.0","1146"
"BK","","EB NEPTUNE AVE @ W 5","","0.0","1144"
"BK","","NB 4TH AVE @ 13TH ST","","0.0","1140"
"BK","","NB AVE U @ PEARSON S","","0.0","1137"
"QN","","NB 150TH ST @ SUTTER","","0.0","1137"
"BX","","SB MELROSE AVE @ E 1","","0.0","1134"
"BK","","SB NOSTRAND AVE @ AV","","0.0","1132"
"BK","","EB ATLANTIC AVE @ NE","","0.0","1131"
"QN","","WB NORTHERN BLVD @ 1","","0.0","1130"
"MN","","EB W 14TH STREET @ 7","","0.0","1125"
"QN","","EB 137TH AVE @ 167TH","","0.0","1115"
"BK","","SB NOSTRAND AVE @ LI","","0.0","1105"
"BK","","WB EASTERN PKWY @ UN","","0.0","1102"
"BK","","SB BAY PKWY @ 86TH S","","0.0","1096"
"BX","","WB E 233RD ST @ MONT","","0.0","1085"
"QN","","BEACH CHANNEL DR (W/","","0.0","1084"
"BK","","SB NOSTRAND AVE @ TI","","0.0","1083"
"MN","","NB 3RD AVE @ E 112TH","","0.0","1072"
"BX","","NB PARK AVE @ E 170T","","0.0","1068"
"QN","","EB DITMARS BLVD @ 80","","0.0","1064"
"QN","","WB DITMARS BLVD @ 79","","0.0","1063"
"BK","","WB FORT HAMILTON PKW","","0.0","1044"
"BK","","SB CROPSEY AVE @ BAY","","0.0","1042"
"MN","","SB BROADWAY @ W 196T","","0.0","1034"
"QN","","EB QUEENS BLVD @ 51S","","0.0","1034"
"BK","","CADMAN PLAZA (E/B) @","","0.0","1030"
"QN","","EB JAMAICA AVE @ 193","","0.0","1023"
"BX","","SB BOSTON RD @ DE RE","","0.0","1009"
"BX","","SB BOSTON RD @ ARNOW","","0.0","1008"
"BK","","PENNSYLVANIA AVE (S/","","0.0","1005"
"MN","","SB 2ND AVE @ 53RD ST","","0.0","1002"
"QN","","WB NORTHERN BLVD @ S","","0.0","999"
"BK","","NB FLATBUSH AVE @ AV","","0.0","996"
"BK","","SB BOERUM PL @ SCHER","","0.0","991"
"MN","","NB 12TH AVE @ 23RD S","","0.0","990"
"BX","","WB E GUN HILL RD @ B","","0.0","982"
"ST","","WB RICHMOND HILL RD","","0.0","981"
"QN","","WB HILLSIDE AVE @ 25","","0.0","981"
"QN","","WB ROCKAWAY BLVD @ L","","0.0","979"
"BK","","NB OCEAN PKWY @ SHOR","","0.0","977"
"BX","","E 135TH ST (W/B) @ A","","0.0","977"
"BX","","NB BRONX RIVER AVE @","","0.0","977"
"MN","","NB 4TH AVE @ E 11TH","","0.0","974"
"BK","","SB KNAPP ST @ AVE V","","0.0","974"
"BK","","SB SHORE RD @ 83RD S","","0.0","969"
"BX","","EB E GUN HILL RD @ B","","0.0","964"
"BK","","SB OCEAN PKWY @ BAY","","0.0","964"
"QN","","QUEENS BLVD (W/B) @","","0.0","962"
